ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
GANPOB,C c c a,False,"(0, 1, 0)",13.641,13.641,27.282,8.493,1.0,90.0,72.708
BAVTEA,I -4,True,"(0, 0, 1)",13.991,13.991,19.786,10.043,1.4142322854543616,90.0,70.256
CUNJIG,I -4,True,"(0, 0, 1)",16.581,16.581,33.161893824086704,10.72,1.0000032017445644,90.0,72.084
DIFSET,I -4,True,"(0, 0, 1)",19.82,19.82,28.03,13.486,1.4141990724224045,90.0,71.213
DUFVIM,I -4,True,"(0, 0, 1)",13.108,13.108,18.538,10.495,1.414176286546553,90.0,68.182
EAPTZB10,I -4,True,"(0, 0, 1)",14.665,14.665,20.74,7.982,1.414175506268081,90.0,74.777
EGORIE,I -4,True,"(0, 0, 1)",14.535,14.535,20.556,10.903,1.414185639229422,90.0,69.442
EHUMOJ,I -4,True,"(0, 0, 1)",17.457,17.457,24.688,10.093,1.414209332469216,90.0,73.877
EMOSOQ,I -4,True,"(0, 0, 1)",11.331,11.331,16.024,8.332,1.414253619570644,90.0,69.815
EQEQAT,I -4,True,"(0, 0, 1)",12.256,12.256,17.332,10.825,1.4142626355873529,90.0,66.171
ETIYAK,I -4,True,"(0, 0, 1)",12.166,12.166,17.206,13.79,1.4141578519121238,90.0,60.459
FIWVOW,I -4,True,"(0, 0, 1)",12.417,12.417,17.56,13.207,1.414236902050114,90.0,61.994
FOPMIJ,I -4,True,"(0, 0, 1)",12.841,12.841,18.16,13.526,1.4142070484581497,90.0,62.223
FUDDEN,I -4,True,"(0, 0, 1)",12.202,12.202,17.256,10.223,1.4142327306444136,90.0,67.271
JOKVEK,I -4,True,"(0, 0, 1)",14.914,14.914,21.092,11.628,1.414185473165181,90.0,68.703
KIWGEF,I -4,True,"(0, 0, 1)",14.128,14.128,19.98,8.66,1.4142142142142142,90.0,72.96
KUCDUI,I -4,True,"(0, 0, 1)",13.076,13.076,18.492,13.962,1.4142331819165044,90.0,61.902
MAKMOD,I -4,True,"(0, 0, 1)",14.866,14.866,21.024,9.404,1.414193302891933,90.0,72.451
